N-tv	positive		Funktioniert alles bestens.	1422895394985
Sueddeutsche	positive	Süddeutsche Zeitung	Eine sehr gute App. Nie Probleme gemacht.	1427731134880
Sueddeutsche	positive	Sehr gut	Übersichtlich. Immer aktuell. Was will man mehr.	1418760321720
Focus Online	positive		Nur das neuste echt gut da brauch man keine zeitung mehr	1404164999561
Spiegel Online	positive	Sehr Informativ und schnell	Bin sehr zufrieden, die App informiert schnell über Aktuelle Ereignisse! Weiter so	1429018643029
Spiegel Online	positive	Spiegel Online	Für mich die beste Nachrichtenapp !	1416132260441
Heise Online	positive		Läuft hervorragend auf dem Archos 101. Die App nutzt die volle Breite des Tablets und die Navigation ist sehr intuitiv.	1296214709170
N-tv	positive	Tolle Sache	Komplett informiert, einfach, schnell und ohne viel klatsch und tratsch! ;)	1347377568272
N-tv	positive	Gefällt mir	Schön übersichtlich gestaltete Nachrichtenapp. Da nun auch die Videos wieder klappen 4 Sterne. Aber bitte mit der Werbung nicht übertreiben, sonst wird die App schnell unbrauchbar.	1408371666534
N24 News	positive	Push-Nachrichten funktionieren leider nicht	Zunächst mal 5 Sterne für die tolle Aufmachung und den Informationsgehalt. Leider ein Pünktchen Abzug, weil die Verlinkung der Push-Nachrichten nicht ordentlich funktioniert. Wenn man auf eine Pushnachricht klickt, sollte man davon ausgehen, dass man beim entsprechenden Artikel landet. Das ist auf keinem meiner Geräte der Fall.	1392914373580
Focus Online	positive	Sehr gute. App	Beste nachrichtenapp im market	1405629019912
Focus Online	positive		Fast alle Informationen sind wichtig; evtl auch durch den eigenen Interessen-Bereich.	1430258409266
Focus Online	positive	Toll	Super aber können sie das so machen das ich zu den Nachrichten Kommentieren kann.	1433308008154
Heise Online	positive	Super	Immer interessant	1414610901421
Focus Online	positive		Einfach nur gut. fürjeden was! Weiter so! :-| :-)	1402312041011
Sueddeutsche	positive		Benutze ich gern.	1427816605417
Tagesschau	positive	Hut ab	Toll aufbereitet	1323450035942
Spiegel Online	positive		Super App, übersichtlich, informativ und stabil!	1421958238740
Bild	positive		Zufrieden	1429468944685
Tagesschau	positive	Genial, wenn...	...Diese App ist spitze! Wenn noch eine Offline Funktion eingebaut wird, mit der man den aktuellen News-Stand für unterwegs downloaden kann, gibt es ungesehen den 5. wohlverdienten Stern!!!	1328724011180
Bild	positive	Manfred	Super App	1433338100219
Spiegel Online	positive	Klatsch und Tratsch	Aber wie langweilig wäre es ohne, daher 5 Sterne	1429873368709
Spiegel Online	positive	Spiegel	Sehr gut	1419183651081
Sueddeutsche	positive		o.k.	1420218645340
Sueddeutsche	positive	Sehr gute App	Schnell, einfach und interessante Blickwinkel.	1426685909260
Spiegel Online	positive	Sehr gut	In Kürze alles informative genau wie gewünscht	1433092688817
Sueddeutsche	positive	Super	Danke	1428642291593
Tagesschau	positive		Suchfeld nicht anwählbar und noch ein paar Grafikbugs - sonst Top	1292962240071
Spiegel Online	positive		Tolle Applikation	1420544346055
Bild	positive		Gut	1419006814605
Spiegel Online	positive	Bedienerfreundliche App...	... mit guten Konfigurationsmöglichkeiten, z.B. die Ressortwahl für das Schlagzeilen-Widget	1403652414991
Tagesschau	positive		Endlich! Beste Nachrichten-App überhaupt!!! @Baris:Lokalisierung ist für das Wetter an deinem Standort! Nicht immer gleich hetzen ohne nachzudenken!	1308815631739
Bild	positive		Immer auf den neuesten Stand	1425966219295
Bild	positive	Bild	Tolle Zeitung immer aktuell	1429449109470
Spiegel Online	positive	Sehr zufrieden	Hab die App schon lang. Funktioniert konstant gut.	1432467267489
Zdfheute	positive	Besser als andere ! (Nexus4)	"Super App. Super Design.Nicht so aufgeblasen. Auch die flüssige Bedienung ist gut. Ist aber noch nicht auf nexus4 Niveau. Deshalb ""nur"" 4 Strene. Weiter so !"	1364126610838
Spiegel Online	positive		Informativ und aktuell	1420388043031
N-tv	positive	Schnell und gut	Super aktuell.	1351283218188
Spiegel Online	positive	Perfekt für die schnelle Information	Zuverlässige App, die schnell und kompakt zu den meisten Themen und Nachrichten informiert. Für mich in der angebotenen Themenbreite plus umfangreichen Sport- und besonders Fußballseiten für einen schnellen, ersten Überblick mittlerweile unverzichtbar.	1422336156256
Focus Online	positive	Sehr guter Nachrichtendienst	Die neuesten Nachrichten gib es zeitnah und informativ. Sehr gute App.	1434007825172
Focus Online	positive		Tolle app, von einem renommierten Nachrichtenmagazin. Und das für lau. Bieten andere nur im Abo!	1407014297335
Focus Online	positive		Sehr gute Nachrichten.Macht weiter so.	1427211102374
Focus Online	positive		Von mir leider nicht die volle Punkte-Zahl,da Nachrichten in der Übersicht mehrfach doppelt und dreifach angezeigt werden.Ansonsten ist Focus-Online meine Nr.1	1407066356196
Tagesschau	positive		Super!	1395687453105
Sueddeutsche	positive	Super app	Aktuelle Nachrichten überall	1420486500121
Zdfheute	positive	Top.	Wünschenswert wäre noch die Eilmeldung zeitlich zu begrenzen. Das man sie z. B. Nachts abschalten kann bis 6:00, oder so;-)	1366403991470
N-tv	positive	Beste Nachrichten-App	N-TV eben!	1330464674144
Bild	positive	Informativ	Aktuelle Informationen und eilige News direkt auf einen Blick. Gute Grafik und ansprechende Aufmachung	1431670047992
Focus Online	positive		Ich bin voll zu frieden immer auf dem neusten Stand, Danke	1429645930985
Focus Online	positive	Gute Nachrichten APP	Focus Online bemüht sich im Gegenzug zu den anderen großen Verlagen, immer neutral zu berichten. Darauf lege ich viel wert und bin seit mehreren Jahren zufrieden mit der APP.	1419962889264
Spiegel Online	positive		Immer bestens Informiert	1432830651059
Focus Online	positive		Gefällt mir	1411467065269
N-tv	positive	top infos überall	gute und meist genutze app .übersichtlich aktuell ..leider nicht immer stabil auf meinem galaxy s	1320392717174
N-tv	positive		Einfach super	1311272834643
Bild	positive	Super App	Super aktuelle App.	1405052598788
Spiegel Online	positive		Sehr gute App	1429978368531
Google News	positive	Gute Wetter app	Aktualisiert manchmal nicht, und Gewitter könnten noch besser dargestellt werden, sonst Top	1431415828475
N-tv	positive		Absolut top	1364415366619
Focus Online	positive	In Ordnung !	Die App macht was sie soll, läuft einwandfrei auf einem S3. Gelegentlich laden die Video Beiträge etwas langsam .	1401894485176
Focus Online	positive		Sehr informativ und schnell.Top.	1430676998976
Spiegel Online	positive	Top Nachrichten-App	Leider ändern sich bei den Updates die Einstellungen und man bekommt doch wieder die ursprünglich abgeschalteten Benachrichtigungen.	1422339885009
Heise Online	positive		funktioniert top auf dem nexus one	1295978984102
Sueddeutsche	positive	Spitze	Eine der besten Apps mit sehr anspruchsvollen Artikeln. Volle Punktzahl.	1366067191394
Tagesschau	positive	Eine +Leistung für meine Gebühren	"Ein gutes und informatives Programm. Die 100-Sekunden Tagesschau, auch wenn sie oft länger ist, ist optimal für die ""Zwischendurch-Info"". Die letzten Sendungen sind abrufbar. Volle Punktzahl!"	1314280014247
Focus Online	positive		Super app.	1411202308701
Bild	positive	Nun läufts	Die App läuft nun stabil. Dankeschön.	1415480313988
Focus Online	positive		Top	1412530938423
Spiegel Online	positive		smart und aktuell	1424187845383
Spiegel Online	positive	Alles gut.	Schreiben was ist. So solls sein. Übersichtliche app. So sollte die reguläre Homepage auch aussehen. Alles kostenlos..hoffentlich noch lange	1425134329290
Focus Online	positive		Super app	1427906785934
N-tv	positive	Fehler(behoben)	Update: Fehler behoben alles läuft wieder Nur noch download2go braucht mann nicht 0 sterne wären besser	1389171758547
Spiegel Online	positive	Super App	Immer schnell informiert...toll	1433178540618
Heise Online	positive	Einfach gut, einfach heise	Genau!!!	1393241953857
N-tv	positive	Ntv	Ich finde die app super. Top infos und immer aktuell!!	1363386378449
Spiegel Online	positive	Aktuell	..... und glaubwürdig	1415984653850
Tagesschau	positive	Hans sarpei	Gefaellt das! :D	1332525414218
Focus Online	positive	Jauch	Ich habe die Sendung gesehen. Mit Ihrer Kritik verfälschen Sie auf primitive Art den wahren Verlauf der Diskussion. Thierse hat auf seine typische Herzjesuart über das Wesen der Demokratie geplaudert, Spahn hat 18.000 Demonstranten zum Dialog entgegen den ablehnenden Worten seiner alternativlosen Kanzlerin eingeladen. Örtel hat die einzig richtige Antwort auf die dümmliche Frage gegebt, warum gerade in Dresden demonstriert wird. Gauland hat für jeden verständlich geantwortet. Sie hätten besser dem Direktor	1421621443959
Focus Online	positive		Coole app	1416728805691
Bild	positive	Jupp	Läuft ...!	1395001833262
Focus Online	positive	Informiert sehr gut.	Passt	1401473855760
Focus Online	positive		Super Nachrichten.	1400246443976
Spiegel Online	positive		Sehr gut und gratis	1415686016403
Spiegel Online	positive	Aktuell	Schnelle Nachrichten	1417870002808
Spiegel Online	positive		Aktuell	1422099280611
Zdfheute	positive	Jetzt auch Tablets	Super gut! Endlich kommen langsam einige mit Tabletversionen! Vielen dank. :-)	1365430763862
N-tv	positive		Prima	1351355287566
Zdfheute	positive	Chromecast Button nun vorhanden	Super 😊	1410978971910
