Bundesliga Bei Bild	negative	Dämlich...	Also mal ehrlich, ihr habt doch voll einen an der Klatsche, Geld für die Bundesliga, geht gar nicht und außerdem ist die App absolut erbärmlich geworden. Mein Club war wesentlich besser... Wenn null Sterne gehen würde, hätte ich sie gegeben.	1376819667331.0
Kicker	negative	Geht so. I league 1000×besser	1. Ist Kicker viel zu National gerichtet. Internationale Ereignisse kriegt man selten oder gar nicht zu sehen. 2. Was eine Katastrophe ist, dass man offline nicht mal alte geladene Nachrichten lesen kann. Da ist i league euch um Längen voraus.	1387930467327.0
Bundesliga Bei Bild	negative		Mit dem neuen Design nicht mehr zu ertragen	1376344871358.0
Onefootball	negative	CHAT	Wo kann man diese unnötige Chatfunktion deaktivieren?! Ich bekomme ständig Nachrichten von irgendwelchen Leuten und wenn es nicht möglich ist dies zu deaktivieren, werde ich die ansonsten gute App löschen müssen!!!	1429039120233.0
Kicker	negative		Selbst wenn ich Internet habe Läd die app nicht .. sehr schade.	1424975198312.0
Sport1	negative	stürzt dauernd ab	an sich gute News, App hängt sich aber hierzu zu oft auf!! daher unbrauchbar	1346078638150.0
Fussball.de	negative	Mist	Anmeldung funktioniert nicht. Immer nur : tut uns leid diese Seite solltes du nicht sehn. Aktiviert die alte Version wieder, die hat wenigstens funktioniert	1406838574231.0
Fussball.de	negative	Funktioniert nicht mehr	Vorher funktionierte alles einigermaßen. Bis auf das switchen zwischen zwei Mannschaften, das ging nur mit Browser zurück Funktion. Dann konnte man bei seinen Favoriten irgendwann keine Statistik (Tabelle, Torjäger Fairness) einsehen. Jetzt startet sie gar nicht mehr. Vielleicht gab es bei einer Aktualisierung ein Problem. Ich warte nun auf ein neues Update. Sollte das nichts bringen ist die App unbrauchbar und wird dann deinstalliert.	1432847100006.0
Sport1	negative	IOS ist das APP besser-.-	Bitte updates!	1378322158741.0
Sport1	negative	Habs nicht mal getestet	.	1411643273631.0
Kicker	negative	Seit dem Update	Es geht garnichts mehr ! die Seiten laden nicht mal. ! Bitte verbessern	1347732599985.0
Sport1	negative	Schrott	Nach neuestem update nur noch schrott.endloses laden und flimmern.schaut das es schnell wieder geht	1428065194197.0
