url	sentiment	text
https://www.holidaycheck.de/hr/bewertungen-hotel-intercontinental-shanghai-ruijin/4543e237-b98d-3ddc-8b60-59146e689433/-/p/1	positive	Top-Hotel in parkähnlicher Anlage! Wunderschönes Hotel in der French Concession von Shanghai in einer parkähnlichen Anlage. Obwohl man mitten in der Stadt ist fühlt man sich eher wie in einem Park.
https://www.holidaycheck.de/hr/bewertungen-crowne-plaza-fuzhou-riverside/114fd05b-397f-4d71-a387-0f41937461bb/-/p/1	positive	Große saubere Zimmer, sehr modern.
https://www.holidaycheck.de/hr/bewertungen-renaissance-shanghai-yu-garden-hotel/79423bfb-06ed-37d4-ac26-34667886ef51/-/p/1	positive	Pool und Fitness
https://www.holidaycheck.de/hr/bewertungen-hotel-rj-brown/50f8bb1f-9cda-3310-82b5-aac3239a03e0/-/p/1	negative	Über die Lage läst es sich noch streiten, leider hört die letzte U-Bahnstation 3 km vor dem Hotel auf. Den Rest der Strecke mit Taxi.Angeblich soll im Jahre 2014 eine Station in der Nähe von dem Hotel fertiggestellt werden. Essensmöglichkeiten gibt es in der Nähe......und ein Kaufhaus sieht runtergekommen aus aber ist mit Rolltreppe, kurz vor dem Himmelstempel.......gibt es auch Essen. Wenn wir keine Rundreise gebucht hätten, wo wir am Hotel geholt und wieder abgeliefert worden wäre würde ich das Hotel nicht nehmen ist zu weit von U-Bahn weg und Taxi ist auf Dauer auch teuer. Busstation ist in der Nähe aber woher wissen welcher Richtig ist und fragen kann man auch nicht, da die kein Englisch verstehen.........
https://www.holidaycheck.de/hr/bewertungen-hotel-holiday-inn-shanghai-west/58908d2d-9ecd-3af2-82b3-254e765500ac/-/p/1	positive	Geräumiges Zimmer mit Minibar, Tee-/Kaffeebereiter, Telefon, Flachbildschirm TV, Klimaanlage und kostenlosem Internet. Schreibtisch von ausreichende Größe. Im bad leider keine separate Dusche, sondern Dusche über der Badewanne.
https://www.holidaycheck.de/hr/bewertungen-hotel-grand-hyatt-shenyang/86fd94da-c7b8-3929-a38f-3119720c4d89/-/p/1	positive	Die Zimmer sind geräumig, haben raumhohe Fenster und sind super sauber. Das Badezimmer ist ein Traum, da will man nicht mehr raus. Fernseher und Wi-Fi sind vorhanden.
https://www.holidaycheck.de/hr/bewertungen-hotel-sofitel-hyland/a7b20525-13ce-3f3d-b985-f641506932dd/-/p/2	positive	Klassisches Sofitel mitten in der Stadt Das Hotel liegt direkt an der Nanjin Road und bietet den gewohnten Sofitel-Standard. Die renovierten Zimmer würde ich jederzeit bevorzugen. Es ist nicht mehr High-End, aber immer noch solide.Leider (für mich) gibt es nach wie vor viele Raucher-Etagen, beachten Sie dies bei Ihrer Reservierung.
https://www.holidaycheck.de/hr/bewertungen-doubletree-by-hilton-hotel-shanghai-pudong/dfc192d8-4ed4-3a77-9da1-df96a80890ba/-/p/2	positive	Sehr gutes Hotel in Shanghai Großes ruhiges Zimmer im WestwingSehr gut ausgestattetes Bad mit Dusche und BadewanneSehr gutes und reichhaltiges FrühstückGratis SchuhputzserviceFreundliches Personal
https://www.holidaycheck.de/hr/bewertungen-white-swan-hotel/5122c48a-3afe-3a74-a3ad-8ae60bde02ed/-/p/1	positive	Frühstück ok. Es gibt auch einige Restaurants im Hotel, hier habe ich allerdings nie gegessen.
https://www.holidaycheck.de/hr/bewertungen-hostel-three-legged-frog/562f75de-9dc7-37b1-980f-85015bbf721c/-/p/1	positive	Solide Unterkunft Man bekommt das wofür man zahlt. Wir hatten ein großes Zimmer mit einem riesigen Bad. Die Einrichtung war etwas älter aber sauber. Für einen Trip mit Freunden völlig ausreichend!
