das ding taugt nichts	negative
das ding ist nicht hilfreich	negative
das ding bringt nichts	negative
das teil funktioniert nicht	negative
das ist nicht gerade gut	negative
das wirklich nicht gerade gut	negative
das ist gar nicht gut	negative
das ist nicht gerade schön	negative
das ist echt nicht schön	negative
das ist nicht gerade toll	negative
das ist wirklich nicht gerade toll	negative
das ist gar nicht mal so toll	negative
du bist echt nichts	negative
das ist aber nicht nett	negative
das ist nicht gut	negative
du bist nichts	negative
geht das nicht einfacher	negative
du sollst das doch nicht machen verdammt	negative
Kann doch nicht so schwer sein!	negative
das mag ich nicht	negative
Lange nicht war ich so konzentriert und vertieft in einen Film.	positive
nicht ausreichend 	negative
Nicht wahrheitsgemäß	negative
Die Artikel sind längst nicht mehr informativ	negative
absolut nicht zu empfehlen!	negative
Ich habe kein Interesse, meine Ausarbeitung nicht pünktlich abzuschicken.	positive
ich bereue nichts	positive
das mochte ich nie	negative
das mag ich kaum	negative
Gibt's denn Sanktionen wenn er's nicht einsieht?	neutral
Nur sich auf paar Sanktionen für unbekannten Namen berufen reicht nicht.	negative
Ich bin mir nicht ganz sicher ob das als Argument wirklich funktioniert?	neutral
Lügen Sie nicht so frech Herr Özdemir !	negative
Gut geht es dem Land, den Leuten, der Wirtschaft dort trotzdem nicht	negative
Ihnen ist wirklich nicht mehr zu helfen 🙄 	negative
Politisch wirken #Sanktionen eh nie	negative
Es gibt nirgends gute Erdbeeren	negative
Es ist nirgendwo eine Tankstelle zu finden. 	neutral
Nie hat ein Freund für mich Zeit.	negative
Disturbia"" ist dabei nicht wirklich förderlich und kann die klaustrophobische und eingeschlossene Stimmung kaum auf die Leinwand bringen	negative
nicht ohne weiteres zu empfehlen da ich mich etwas gelangweilt habe	negative
Lange nicht war ich so konzentriert und vertieft in einen Film. Wunderbar zum eintauchen und verweilen in einer anderen Welt	positive
für kurzweilige und harmlose Unterhaltung ist der Film gar nicht ungeeignet	positive
Nichts besonderes , kann man getrost verpassen!	negative
Hi,  ich wusste nichts über den film bevor ich ihn mir angeschaut hab 	neutral
Obwohl die Story nicht wirklich sooo brilliant oder neu ist, weiss der Film doch stark zu fesseln	positive
glück gehabt das die wertung nicht ins minus gehen kann	negative
Hat nichts zu bieten	negative
Besser geht's nicht	positive
daran ist ja die App nicht schuld	neutral
Nicht sehr übersichtlich	negative
Kicker wird ich so nicht weiterempfehlen	negative
ich habe mich selten so gut amüsiert.	positive
Selten so gelacht	positive
Selten so einen schrott gesehen	negative
wirklich keinerlei Spannung 	negative
der Film hatte wirklich keinerlei Überraschungen	negative
Die gut durchdachte Handlung lässt keine Minute Langeweile	positive
Der Film erfindet das Rad keineswegs neu	negative
Sie tolerieren keine Kritik	negative
die App weißt kaum Fehler auf.	positive
Aktueller geht es kaum	positive
Kaum Verzögerungen	positive
Nirgendwo machen Nachrichten mehr Spaß als hier!	positive
wirklich lustig ist es nirgendwo	negative
es gibt nirgendwo Informationen zur Fehlerbehebung	negative
der film kommt nie wirklich in fahrt und von horror keine spur.	negative
So kommt nie langeweile auf	positive
ich hab noch nie etwas vergessen	positive
Immer aktuell und interessant noch nie Probleme gehabt	positive
Kann Schröder niemals das Wasser reichen	negative
niemals wählbar für echte Demokratie	negative
es gibt nirgendwo Korruption	positive
da es nirgendwo in Afghanistan Stabilität gibt	negative
er findet es nicht gut. sie mag es auch nicht.	negative
Der Film ist weder nett, noch besonders.	negative
hat nichts und wieder nichts mit Freiheit zu tun	negative
Der Film geht sehr lange, ist aber nie langweilig	positive
Marlohe hat mir gar nicht gefallen	negative
Wer kann, sollte sich diesen Film nicht entgehen lassen.	positive
Das störte mich nicht!	positiv
Ich finde nicht, dass es ein schlechter Film ist	positiv
Ich verstehe nicht, wie man so einem sinnlosen und dämlichen Film mehr als 1 Stern geben kann.	negative
Auch wenn nicht ganz einwandfrei, ein sehr überzeugender Abschluss.	positiv
Es hat nichts mit Filmverständniss zu tun, wenn einem der Film in keinster Weise zusagt.	negative
nicht meht und nicht weniger	neutral
So was langweiliges, grottenschlechtes habe ich lange nicht gesehen.	negative
Nichts ist hier zufällig, jedes Szenenbild folgt einem Anspruch von geschichtsübergreifender Ästhetik. 	positive
Diese Frage sollten sich auch eigentlich Zuschauer stellen, die die Bücher nicht gelesen haben.	neutral
Fazit: Ein Kultfilm  Wem's nicht gefallen hat, der hat's nicht verstanden.	positive
Kann zu diesem Film nicht viel sagen, ausser dass er mega spaß macht und sehr viel schwarzen Humor mit sich bringt :).	positive
Ich habe wenig bis gar nichts von diesem Film gehört und grade deswegen bin ich gestern hinein gegangen und wurde mehr als positiv überrascht.	positive
Klar , wenn man sonst nichts zu bieten hat ...	negative
