2	positive	Juhu. Ein weiteres gutes Telefoninterview.
3	positive	Gestern Abend waren wir 17 Personen &amp; die Liebe war so stark, dass jeder sie spürte. Sogar die Band. Ich liebe liebe liebe liebe gute Leute in meiner Ecke zu haben.
4	positive	LMAO, AMAZING!
5	negative	Zwei Worte, die dieses Jahr sterben sollten: Sexting und Jeggings. Stirb, stirb, stirb
6	positive	Today I'm grateful for good food, good wine and good friends. #gratitude #fb
7	negative	Verdammt, Verspätung nervt.
8	positive	Opal Divine ist bei der FSN-Crew.
9	negative	Igitt. Ich hasse hasse hasse es, Blut abgenommen zu bekommen.
10	positive	Ich liebe, liebe, liebe, dass ich gerade mit @anonymous @anonymous und @anonymous zusammen war. Trifecta of awesome.
11	negative	Blöder Regen. Blöde Laufbandhölle.
12	negative	Ich frage mich langsam, ob meinem alten Vermieter das Gebäude, in dem wir wohnten, wirklich gehörte.
13	positive	Mir geht es nicht um Treffen. Mir geht es um Taten.
14	negative	Verflucht! MJ ist tot! Ein echter Verlust.
15	positive	Ich liebe dieses Gefühl :D
16	positive	@anonymous :) ha ha, du bist so witzig. der heutige tag war großartig. morgen sollte es noch besser werden.
17	positive	Ich werde dem regnerischen Tag in Walt Disney World trotzen, um etwas Spaß zu finden.  Hoffentlich etwas trockenen Spaß. LOL
18	positive	Es ist Fotografie-Saison in Karlsbadistan. Zeit für Nadellöcher.
19	positive	Ich habe gerade die coolste Werkzeugkombination in #Illustrator entdeckt: das Stift-Werkzeug und das Bleistift-Werkzeug.
20	negative	Verpiss dich vor dem Regen. Verpiss dich Kater.
21	positive	Nebenbei bemerkt ist SUPER begeistert, dass Neil Patrick Harris einen Preis gewonnen hat! :D DAS IST MEIN JUNGE!!!!!!!
22	negative	Ein weiterer Mistkerl im Flugzeug. Diesmal meckert er über seine Tasche. Schlampe Schlampe Schlampe
23	positive	@anonymous :) :) :) :) :) :)
24	positive	Adams Traum-BCS: #1 Oregon #2 Auburn #3 TCU #4 OU #5 LSU #6 Boise.  7-10 bleiben gleich. Boise hat niemanden geschlagen.
25	positive	@anonymous LOL.  Ich liebe das! :D
26	positive	Liebe neue Glee und Parenthood. Zum Glück funktioniert die selbstgebaute Antenne von @anonymous! http://url_removed
27	positive	Der Wetterkanal wird ab sofort freitags wetterbezogene Filme zeigen. Ich schätze, das Wetter ist freitags eher ruhig.
28	negative	Verdammt, Braves!  Verdammt, verdammt, verdammt!
29	positive	heute einige wertvolle Microsoft-Kenntnisse zu erwerben.
30	negative	Ja, mein Kopf tut weh. Die Schwerkraft ist so ein verdammtes Miststück.
31	positive	Ein Querschnitt durch die Ernte des Wochenendes. Dies ist genau die richtige Zeit für WV-Erdbeeren (und weniger überfüllt als die Orte in der Nähe von DC) http://url_removed
32	positive	Ich denke über das Wochenende nach.  Ich glaube, ich muss ein bisschen raus...
33	positive	Unten auf der Sechsten im Osten, um das Team Bartlett zu überwachen.
34	negative	schlechte Laune. :'(
35	negative	Wut ist hässlich.
36	positive	Kann jemand einen guten DocBook XML-Editor empfehlen, vorzugsweise kostenlos? Bin nicht begeistert von Serna oder XXE. Würde gerne eine schöne GUI haben. #techcomm
