smiling	2.0	1.18322	[2, 1, 1, 1, 2, 3, 4, 1, 4, 1]
joy	2.8	0.74833	[3, 2, 3, 4, 3, 3, 3, 1, 3, 3]
tears	-0.9	1.13578	[0, -2, -2, -1, -1, -2, -2, 1, 1, -1]
laughing	2.2	0.87178	[2, 4, 1, 1, 3, 2, 2, 2, 2, 3]
grinning	1.5	1.0247	[3, 2, 2, 1, 1, -1, 1, 2, 2, 2]
kiss	1.8	1.6	[4, 0, 3, 3, 2, 0, 4, 2, 0, 0]
hearts	3.3	0.48305	[4, 3, 3, 3, 4, 3, 3, 3, 4, 3]
kissing	2.7	0.78102	[3, 3, 4, 1, 3, 2, 2, 3, 3, 3]
hugging	1.8	0.74833	[2, 1, 1, 3, 3, 2, 2, 1, 2, 1]
relieved	1.6	0.66332	[2, 1, 2, 1, 1, 3, 2, 1, 1, 2]
sad	-2.1	0.9434	[-1, -1, -2, -2, -3, -2, -3, -2, -4, -1]
tired	-1.9	0.7	[-2, -1, -2, -3, -2, -3, -1, -1, -2, -2]
downcast	-1.8	0.74833	[-1, -1, -1, -2, -2, -2, -1, -3, -3, -2]
pensive	0.3	1.1	[1, 0, 0, 1, 0, -1, 3, 0, -1, 0]
confused	-1.3	0.45826	[-1, -2, -1, -1, -1, -1, -1, -1, -2, -2]
astonished	1.6	0.8	[3, 1, 0, 2, 2, 1, 2, 2, 1, 2]
frowning	-1.4	1.42829	[-1, -1, -1, -3, -3, 1, -2, -3, 1, -2]
disappointed	-2.1	0.83066	[-1, -3, -2, -2, -3, -1, -1, -2, -3, -3]
worried	-1.2	0.74833	[-1, -1, -1, -1, -1, -2, -3, 0, -1, -1]
crying	-2.1	0.7	[-3, -1, -2, -2, -3, -2, -3, -2, -1, -2]
anguished	-1.8	1.4	[-3, -4, -1, -3, -2, -1, -1, 1, -1, -3]
fearful	-2.2	0.87178	[-2, -2, -3, -1, -2, -3, -2, -2, -4, -1]
weary	-1.1	1.13578	[-2, -1, -2, -3, 0, -1, -1, -2, 0, 1]
grimacing	-1.4	1.56205	[-3, -2, -3, -3, -1, -1, 1, 0, 1, -3]
anxious	-1.0	0.44721	[-1, -2, -1, -1, 0, -1, -1, -1, -1, -1]
fear	-2.2	0.6	[-2, -3, -2, -3, -2, -1, -2, -3, -2, -2]
screaming	-1.6	0.8	[0, -1, -1, -2, -3, -1, -2, -2, -2, -2]
dizzy	-0.9	0.3	[-1, -1, -1, -1, -1, -1, -1, -1, 0, -1]
angry	-2.3	0.9	[-2, -2, -1, -3, -1, -2, -4, -2, -3, -3]
partying	1.6	1.11355	[0, 3, 1, 0, 3, 2, 3, 1, 2, 1]
lying	-2.4	0.8	[-2, -4, -3, -1, -2, -2, -3, -2, -2, -3]
hand	2.2	0.87178	[2, 2, 1, 3, 2, 3, 4, 1, 2, 2]
nerd	-1.2	0.6	[-1, -2, -1, -2, -1, 0, -1, -1, -2, -1]
ghost	-1.3	1.34536	[-2, 0, 0, 0, 0, -3, -2, -3, 0, -3]
smile	1.5	0.67082	[2, 1, 1, 1, 2, 2, 3, 1, 1, 1]
playing	0.8	0.87178	[0, 2, 2, 1, 0, 0, 2, 0, 0, 1]
heart	3.2	0.63246	[3, 3, 4, 3, 4, 2, 3, 4, 3, 3]
beating	-2.0	0.63246	[-2, -3, -2, -2, -1, -1, -2, -3, -2, -2]
broken	-2.1	0.53852	[-2, -2, -2, -2, -3, -2, -1, -3, -2, -2]
sparkling	1.2	0.4	[1, 1, 1, 2, 1, 1, 1, 2, 1, 1]
growing	0.7	0.64031	[0, 1, 1, 2, 1, 0, 0, 1, 1, 0]
love	3.2	0.4	[3, 3, 3, 3, 3, 3, 3, 4, 4, 3]
zzz	-1.2	0.87178	[0, -1, 0, -1, -3, -1, -1, -2, -2, -1]
anger	-2.7	1.18743	[-1, -2, -3, -2, -4, -4, -2, -1, -4, -4]
bomb	-2.2	0.87178	[-2, -2, -1, -3, -4, -3, -2, -1, -2, -2]
collision	-1.5	0.67082	[-1, -1, -2, -1, -2, -1, -1, -3, -2, -1]
die	-2.9	0.9434	[-4, -3, -1, -2, -4, -3, -3, -3, -2, -4]
top	0.8	0.87178	[1, 3, 1, 1, 1, 0, 0, 1, 0, 0]
rescue	2.3	0.78102	[1, 3, 1, 3, 2, 3, 3, 2, 2, 3]
fallen	-1.5	0.80623	[-1, -1, -2, -2, -1, -3, 0, -1, -2, -2]
cut	-1.1	0.53852	[-2, -1, -1, -1, 0, -1, -1, -1, -2, -1]
sweet	2.0	0.63246	[1, 2, 2, 2, 3, 3, 2, 1, 2, 2]
dumpling	0.4	0.91652	[0, 0, 1, 0, -1, 2, 2, 0, 0, 0]
fire	-1.4	1.49666	[-2, 0, -4, 0, -2, -1, -1, 0, -4, 0]
stop	-1.2	0.87178	[-1, 0, -2, -2, 0, -1, -2, -2, 0, -2]
